epochs,38,,,,,,,
batch_size,146,,,,,,,
optimizer,adamax,,,,,,,
learning_rate,0.001227171,,,,,,,
momentum,0.9,,,,,,,
output_init_mode,glorot_uniform,,,,,,,
output_dim,100,,,,,,,
num_filters1,219,,,,,,,
kernel_size1,1,,,,,,,
conv_activation_func1,sigmoid,,,,,,,
conv_init_mode1,glorot_uniform,,,,,,,
conv_weight_constraint1,3,,,,,,,
num_filters2,445,,,,,,,
kernel_size2,2,,,,,,,
conv_activation_func2,relu,,,,,,,
conv_init_mode2,glorot_uniform,,,,,,,
conv_weight_constraint2,3,,,,,,,
num_filters3,45,,,,,,,
kernel_size3,4,,,,,,,
conv_activation_func3,softsign,,,,,,,
conv_init_mode3,glorot_uniform,,,,,,,
conv_weight_constraint3,3,,,,,,,
num_filters4,153,,,,,,,
kernel_size4,2,,,,,,,
conv_activation_func4,sigmoid,,,,,,,
conv_init_mode4,glorot_uniform,,,,,,,
conv_weight_constraint4,3,,,,,,,
num_filters5,362,,,,,,,
kernel_size5,1,,,,,,,
conv_activation_func5,selu,,,,,,,
conv_init_mode5,glorot_uniform,,,,,,,
conv_weight_constraint5,3,,,,,,,
neurons1,29,,,,,,,
dense_activation_func1,relu,,,,,,,
dense_init_mode1,glorot_uniform,,,,,,,
dense_weight_constraint1,3,,,,,,,
neurons2,5,,,,,,,
dense_activation_func2,relu,,,,,,,
dense_init_mode2,glorot_uniform,,,,,,,
dense_weight_constraint2,3,,,,,,,
neurons3,17,,,,,,,
dense_activation_func3,relu,,,,,,,
dense_init_mode3,glorot_uniform,,,,,,,
dense_weight_constraint3,3,,,,,,,
neurons4,20,,,,,,,
dense_activation_func4,relu,,,,,,,
dense_init_mode4,glorot_uniform,,,,,,,
dense_weight_constraint4,3,,,,,,,
neurons5,17,,,,,,,
dense_activation_func5,relu,,,,,,,
dense_init_mode5,glorot_uniform,,,,,,,
dense_weight_constraint5,3,,,,,,,
neurons6,7,,,,,,,
dense_activation_func6,relu,,,,,,,
dense_init_mode6,glorot_uniform,,,,,,,
dense_weight_constraint6,3,,,,,,,
pool_size1,5,,,,,,,
pool_size2,5,,,,,,,
pool_size3,5,,,,,,,
pool_size4,5,,,,,,,
dropout_rate1,0.2,,,,,,,
layers,embedding_layer,convolutional_layer,maxpooling_layer,convolutional_layer,global_maxpooling_layer,dense_layer,dropout_layer,output_layer
