epochs,18,,,,,
batch_size,81,,,,,
optimizer,adamax,,,,,
learning_rate,0.006631046,,,,,
momentum,0.9,,,,,
output_init_mode,glorot_uniform,,,,,
output_dim,100,,,,,
num_filters1,66,,,,,
kernel_size1,1,,,,,
conv_activation_func1,linear,,,,,
conv_init_mode1,normal,,,,,
conv_weight_constraint1,5,,,,,
neurons1,22,,,,,
dense_activation_func1,softmax,,,,,
dense_init_mode1,glorot_normal,,,,,
dense_weight_constraint1,1,,,,,
dropout_rate1,0.2,,,,,
layers,embedding_layer,convolutional_layer,global_maxpooling_layer,dense_layer,dropout_layer,output_layer
