epochs,25,,,,,
batch_size,132,,,,,
optimizer,adam,,,,,
learning_rate,0.005769708,,,,,
momentum,0.041545853,,,,,
output_init_mode,he_uniform,,,,,
output_dim,50,,,,,
num_filters,474,,,,,
kernel_size,5,,,,,
conv_activation_func,softplus,,,,,
conv_init_mode,uniform,,,,,
conv_weight_constraint,3,,,,,
neurons,4,,,,,
dense_activation_func,softmax,,,,,
dense_init_mode,ones,,,,,
dense_weight_constraint,2,,,,,
pool_size,3,,,,,
dropout_rate,0.035476542,,,,,
layers,embedding_layer,convolutional_layer,global_maxpooling_layer,dense_layer,dropout_layer,output_layer
